trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.75, 'e': 0.8472551110134161}",20,0,-106.42570914713704,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
57,False,"{'a': 0.75, 'e': 0.8419009751622687}",20,4,-73.20094497679429,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
58,False,"{'a': 0.75, 'e': 0.8364626499151869}",30,0,-130.3350316818964,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
59,False,"{'a': 0.75, 'e': 0.8309406791001636}",20,5,-76.28716957401119,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
60,False,"{'a': 0.75, 'e': 0.8253356149096783}",25,0,-171.44716244278078,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
61,False,"{'a': 0.75, 'e': 0.8196480178454795}",20,0,-47.202493096901996,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
62,False,"{'a': 0.75, 'e': 0.8138784566625339}",30,0,-131.40184289746776,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
63,False,"{'a': 0.75, 'e': 0.8080275083121519}",25,0,-103.89853527130138,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
64,False,"{'a': 0.75, 'e': 0.8020957578842925}",20,0,-162.82649469165543,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
65,False,"{'a': 0.75, 'e': 0.7960837985490558}",20,2,-102.42269075113506,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
66,False,"{'a': 0.75, 'e': 0.7899922314973651}",20,0,-67.81028578361554,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
67,False,"{'a': 0.75, 'e': 0.7838216658808492}",25,0,-137.57356322360135,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
68,False,"{'a': 0.75, 'e': 0.7775727187509279}",25,0,-206.90358784485613,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
69,False,"{'a': 0.75, 'e': 0.7712460149971065}",20,0,-63.36463328876628,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
70,False,"{'a': 0.75, 'e': 0.7648421872844884}",30,0,-52.239412830321584,"{0: 20, 1: 5, 2: 5, 3: 0, 4: 0}",0
71,False,"{'a': 0.75, 'e': 0.7583618759905082}",20,0,-95.5122646818431,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
72,False,"{'a': 0.75, 'e': 0.7518057291408949}",30,0,-69.03580427674032,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
73,False,"{'a': 0.75, 'e': 0.7451744023448704}",20,0,-66.14644780079587,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.75, 'e': 0.7384685587295879}",20,7,-8.660908761323224,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.75, 'e': 0.7316888688738209}",20,0,-108.56336918953318,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
76,False,"{'a': 0.75, 'e': 0.7248360107409052}",25,0,-36.344593414493545,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
77,False,"{'a': 0.75, 'e': 0.7179106696109434}",25,6,-60.2556571546856,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 0}",1
78,False,"{'a': 0.75, 'e': 0.7109135380122773}",25,0,-44.44077867281901,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
79,False,"{'a': 0.75, 'e': 0.7038453156522361}",20,0,-70.63318818934451,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
80,False,"{'a': 0.75, 'e': 0.6967067093471654}",20,0,-24.149121257102397,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
